ID,Mockup ID,Created at,Updated at,Packaging ID,Product ID,Sock pair ID,Created on,Mockup version,Quantity,Manufacturing shipment ID,Finishing item ID,Manufacturing ID,Vendor ID,Finisher ID,Production deadline,Product info ID,Paired SKU,Kit number,Bundle ID
36734,,2023-01-02T21:05:25.023Z,2023-01-02T21:05:25.418Z,65927,,,2023-01-02,,500,14893,,33896,6,3,2023-01-04,35,,1,27924
36733,112571,2023-01-02T21:05:25.018Z,2023-01-02T21:05:25.347Z,,,,2023-01-02,4,500,14893,,33895,1,3,2023-01-06,2,,1,27924
36772,,2023-01-03T18:12:05.569Z,2023-01-03T18:18:42.153Z,70799,,,2023-01-03,,1600,14908,,33935,6,2,2023-01-06,35,,1,27947
36781,118940,2023-01-03T20:07:39.098Z,2023-01-03T20:07:39.611Z,,,,2023-01-03,1,60,14913,,33945,4,7,2022-12-13,114,,1,26646
36782,,2023-01-03T20:07:39.103Z,2023-01-03T20:07:39.679Z,68963,,,2023-01-03,,60,14913,,33946,11,7,2023-01-04,35,,1,26646
36737,134199,2023-01-03T13:00:47.185Z,2023-01-03T13:00:47.507Z,,,,2023-01-03,1,60,14895,,33904,4,7,2023-01-06,2,,1,27927
36735,76984,2023-01-03T07:21:33.011Z,2023-01-03T07:21:33.320Z,,,,2023-01-03,1,190,14894,,33902,3,2,2023-01-04,2,,1,27935
36736,,2023-01-03T07:21:33.017Z,2023-01-03T07:21:33.402Z,43553,,,2023-01-03,,190,14894,,33903,11,2,2023-01-04,35,,1,27935
36783,118455,2023-01-03T20:07:39.108Z,2023-01-03T20:07:39.742Z,,,,2023-01-03,1,60,14913,,33947,4,7,2022-12-13,2,,2,26647
36738,,2023-01-03T13:00:47.190Z,2023-01-03T13:00:47.593Z,70803,,,2023-01-03,,60,14895,,33905,11,7,2023-01-04,35,,1,27927
36739,133409,2023-01-03T13:54:52.795Z,2023-01-03T13:54:53.157Z,,,,2023-01-03,1,60,14896,,33906,4,7,2023-01-06,2,,1,27772
36740,,2023-01-03T13:54:52.799Z,2023-01-03T13:54:53.227Z,30238,,,2023-01-03,,60,14896,,33907,11,7,2023-01-04,35,,1,27772
