ID,Mockup ID,Version number,Completed at,Created at,Updated at,Packaging ID,Product ID,Sock pair ID,Base version,Read at
21736,133806,3,2023-01-03T15:43:58.337Z,2023-01-01T21:34:49.498Z,2023-01-03T15:43:58.338Z,,,,3,
21810,134477,1,2023-01-04T18:13:20.532Z,2023-01-03T23:59:17.506Z,2023-01-04T18:13:20.532Z,,,,1,
21750,133944,2,2023-01-03T17:17:10.792Z,2023-01-03T17:08:33.855Z,2023-01-03T17:17:10.793Z,,,,2,
21782,133993,3,2023-01-03T21:02:49.165Z,2023-01-03T20:51:33.167Z,2023-01-03T21:02:49.166Z,,,,3,
21806,134492,1,2023-01-04T17:58:43.091Z,2023-01-03T23:48:34.490Z,2023-01-04T17:58:43.091Z,,,,1,
21786,134428,1,,2023-01-03T21:50:03.746Z,2023-01-04T17:41:47.675Z,,,,1,
21758,58625,1,2023-01-05T00:20:14.880Z,2023-01-03T18:13:39.799Z,2023-01-05T00:20:14.880Z,,,,1,
21791,134444,1,2023-01-03T22:37:37.489Z,2023-01-03T22:16:04.963Z,2023-01-03T22:37:37.489Z,,,,1,
21794,125295,1,2023-01-03T22:44:21.730Z,2023-01-03T22:37:19.940Z,2023-01-03T22:44:21.730Z,,,,1,
21748,133911,1,2023-01-03T17:13:40.366Z,2023-01-03T17:03:31.684Z,2023-01-03T17:13:40.366Z,,,,1,
21808,134494,1,2023-01-04T00:09:47.263Z,2023-01-03T23:51:10.718Z,2023-01-04T00:09:47.264Z,,,,1,
21781,77035,1,,2023-01-03T20:30:44.330Z,2023-01-03T23:58:44.904Z,,,,1,
21809,133790,1,,2023-01-03T23:57:01.429Z,2023-01-04T23:11:50.133Z,,,,1,
21785,,,2023-01-03T22:07:03.397Z,2023-01-03T21:41:01.332Z,2023-01-03T22:07:03.397Z,70751,,,,
21753,133341,2,2023-01-03T21:09:55.286Z,2023-01-03T17:36:54.798Z,2023-01-03T21:10:01.395Z,,,,2,
21774,24598,4,,2023-01-03T19:49:37.603Z,2023-01-03T23:20:33.621Z,,,,4,
21764,134033,1,2023-01-03T22:03:32.643Z,2023-01-03T18:46:08.240Z,2023-01-03T22:03:32.644Z,,,,1,
21760,133671,1,2023-01-03T18:51:07.203Z,2023-01-03T18:18:58.733Z,2023-01-03T18:51:07.204Z,,,,1,
21787,134428,1,,2023-01-03T21:54:09.514Z,2023-01-04T17:41:50.173Z,,,,1,
21762,134338,1,,2023-01-03T18:31:01.552Z,2023-01-03T22:41:38.293Z,,,,1,
21756,133944,2,2023-01-03T19:20:20.709Z,2023-01-03T17:46:44.018Z,2023-01-03T19:20:30.650Z,,,,2,
21771,134360,1,2023-01-03T20:02:37.079Z,2023-01-03T19:38:39.050Z,2023-01-03T20:02:37.079Z,,,,1,
21767,133873,1,2023-01-03T19:09:17.943Z,2023-01-03T18:53:04.314Z,2023-01-03T19:09:17.943Z,,,,1,
21768,132373,1,,2023-01-03T19:11:10.137Z,2023-01-03T23:00:01.480Z,,,,1,
21793,133959,1,,2023-01-03T22:27:51.101Z,2023-01-04T17:54:49.506Z,,,,1,
21752,133944,2,2023-01-03T17:42:47.792Z,2023-01-03T17:32:25.272Z,2023-01-03T17:42:47.793Z,,,,2,
21789,134041,3,2023-01-03T22:33:43.877Z,2023-01-03T22:08:43.378Z,2023-01-03T22:33:43.877Z,,,,3,
21749,,,2023-01-03T17:15:24.333Z,2023-01-03T17:06:36.260Z,2023-01-03T17:15:24.333Z,70080,,,,
21761,129046,1,,2023-01-03T18:26:58.840Z,2023-01-04T19:39:00.039Z,,,,1,
21763,134233,1,2023-01-03T21:35:56.313Z,2023-01-03T18:36:28.292Z,2023-01-03T21:35:56.314Z,,,,1,
21766,134285,1,2023-01-03T19:10:57.260Z,2023-01-03T18:49:58.676Z,2023-01-03T19:10:57.260Z,,,,1,
21765,134345,1,2023-01-03T19:06:26.717Z,2023-01-03T18:47:51.130Z,2023-01-03T19:06:26.717Z,,,,1,
21777,134239,1,2023-01-04T17:46:22.623Z,2023-01-03T20:19:23.071Z,2023-01-04T17:46:22.623Z,,,,1,
21737,134141,1,2023-01-03T15:47:15.758Z,2023-01-03T15:27:14.444Z,2023-01-03T15:47:15.758Z,,,,1,
21788,109500,1,2023-01-03T22:31:05.199Z,2023-01-03T21:57:34.873Z,2023-01-03T22:31:05.199Z,,,,1,
21796,,,2023-01-03T23:09:44.540Z,2023-01-03T22:52:31.653Z,2023-01-03T23:09:44.540Z,69680,,,,
21769,134033,1,2023-01-03T22:03:30.055Z,2023-01-03T19:16:57.439Z,2023-01-03T22:04:28.774Z,,,,1,
21776,119530,1,2023-01-03T20:39:36.054Z,2023-01-03T20:12:18.917Z,2024-02-13T16:53:17.821Z,,,,1,2024-02-13T16:53:17.820Z
21790,134444,1,2023-01-03T22:37:12.846Z,2023-01-03T22:15:04.623Z,2023-01-03T22:37:12.846Z,,,,1,
21783,122198,1,,2023-01-03T21:00:07.138Z,2023-01-04T19:50:52.649Z,,,,1,
21751,,,2023-01-03T17:41:17.311Z,2023-01-03T17:24:32.294Z,2023-01-03T17:41:17.311Z,,,2343,,
21770,133944,4,2023-01-03T19:32:05.277Z,2023-01-03T19:24:32.446Z,2023-01-03T19:32:05.277Z,,,,4,
21738,134140,1,2023-01-03T15:49:17.672Z,2023-01-03T15:27:38.469Z,2023-01-03T15:49:17.673Z,,,,1,
21784,,,,2023-01-03T21:18:34.065Z,2023-01-03T23:25:59.295Z,,28972,,,
21754,134281,1,,2023-01-03T17:37:03.874Z,2023-01-03T22:58:19.082Z,,,,1,
21797,133967,1,,2023-01-03T23:14:01.088Z,2023-01-03T23:35:56.352Z,,,,1,
21772,119529,1,2023-01-03T20:08:12.900Z,2023-01-03T19:47:36.661Z,2024-02-13T16:53:27.619Z,,,,1,2024-02-13T16:53:27.618Z
21740,133993,2,2023-01-03T15:54:01.975Z,2023-01-03T15:36:51.168Z,2023-01-03T15:54:01.975Z,,,,2,
21739,134018,1,2023-01-03T15:51:54.328Z,2023-01-03T15:33:29.728Z,2023-01-03T15:51:54.328Z,,,,1,
